n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
179305213,-9.505994521,53.80937498,substation,110000,50,Westport 110kV Substation,EirGrid,
208124159,-9.366318694,52.58848139,substation,220000,50,Tarbert 220/110kV Substation,EirGrid,
166764805,-5.994432441,54.56990755,substation,110000,50,Finaghy 110kV Substation,NIE Networks,
166809471,-5.953840212,54.68691657,substation,110000,50,Carnmoney 110kV Substation,NIE Networks,
87982346,-6.645669829,53.24120416,substation,110000,50,Monread 110kV Substation,EirGrid,
257893804,-6.539866623,53.24658049,substation,110000,,Kilteel 110kV Substation,EirGrid,
71762783,-8.233631265,51.83556051,plant,0,,Aghada Power Station,ESB Generation and Wholesale Markets,
213508375,-9.692778736,52.13662507,substation,110000,,Oughtragh 110kV Substation,EirGrid,
236517264,-9.438737285,52.0764555,substation,110000,,Knockearagh 110kV Substation,EirGrid,
374587161,-9.023807992,52.20534866,substation,110000,50,Glenlara 110kV Substation,EirGrid,
237476600,-8.694100102,52.33018163,substation,110000,50,Charleville 110kV Substation,EirGrid,
339515165,-8.343636104,51.82706625,substation,110000,,Novartis,,
79803764,-8.34427524,51.82847834,substation,110000,,Barnahely 110kV Substation,EirGrid,
194825184,-7.281015704,54.57791006,substation,110000,50,Omagh 110kV Substation,NIE Networks,
235933652,-8.704545527,51.78514356,substation,110000,,Brinny,EirGrid,
104879394,-8.446749462,51.90001076,substation,110000,50,Marina 110kV Substation,EirGrid,
437400792,-8.445912052,51.8998013,plant,0,,Marina Power Station,ESB Generation and Wholesale Markets,
172572963,-7.520832817,52.3613705,substation,110000,,Ballydine 110kV Substation,EirGrid,
179214131,-9.299765865,51.9841251,substation,110000,,Clonkeen 110kV Substation,EirGrid,
373209904,-8.636074198,51.88598586,substation,110000,,Ballincollig 110kV Substation,EirGrid,
161472995,-9.013361269,53.29016221,substation,110000,,Galway 110kV Substation,EirGrid,
198780339,-8.848324144,53.48348055,substation,110000,50,Cloon 110kV Substation,EirGrid,
201208741,-8.981406889,53.72005449,substation,110000,50,Dalton 110kV Substation,EirGrid,
374348922,-9.36350209,52.58772676,substation,110000,50,Tarbert 110kV Substation,EirGrid,
48915255,-6.154643041,53.19885493,substation,110000,,Fassaroe 110kV Substation,EirGrid,
27045289,-6.238382778,53.46776372,substation,110000,50,Glasmore 110kV Substation,EirGrid,
203448289,-7.97441349,53.42299777,substation,110000,50,Athlone 110kV Substation,EirGrid,
129111454,-8.620710967,52.14313807,substation,110000,50,Mallow 110kV Substation,EirGrid,
170760036,-6.649805673,52.9941137,substation,110000,50,Stratford 110kV Substation,EirGrid,
266025857,-6.590486337,53.12085105,substation,110000,,Poulaphouca 110kV Substation,EirGrid,
243503443,-7.65368801,52.10828355,substation,110000,,Dungarvan 110kV Substation,EirGrid,
194793393,-7.632608001,54.36713945,substation,110000,,Enniskillen 110kV Substation,NIE Networks,
